Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,-45001,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+01,
Vertical Position,8.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-04,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-04,
Horizontal Old Position,5.000E-03,
Firmware,V1.24,
Mode,Detail,
Waveform Data,
4.518000e-03,9.60e+00,
4.518100e-03,9.60e+00,
4.518200e-03,9.60e+00,
4.518300e-03,9.60e+00,
4.518400e-03,9.60e+00,
4.518500e-03,9.60e+00,
4.518600e-03,9.60e+00,
4.518700e-03,9.60e+00,
4.518800e-03,9.60e+00,
4.518900e-03,9.60e+00,
4.519000e-03,9.60e+00,
4.519100e-03,9.60e+00,
4.519200e-03,9.60e+00,
4.519300e-03,9.60e+00,
4.519400e-03,9.60e+00,
4.519500e-03,9.60e+00,
4.519600e-03,9.60e+00,
4.519700e-03,9.60e+00,
4.519800e-03,9.60e+00,
4.519900e-03,9.60e+00,
4.520000e-03,9.60e+00,
4.520100e-03,9.60e+00,
4.520200e-03,9.60e+00,
4.520300e-03,9.60e+00,
4.520400e-03,9.60e+00,
4.520500e-03,9.60e+00,
4.520600e-03,9.60e+00,
4.520700e-03,9.60e+00,
4.520800e-03,9.60e+00,
4.520900e-03,9.60e+00,
4.521000e-03,9.60e+00,
4.521100e-03,9.60e+00,
4.521200e-03,9.60e+00,
4.521300e-03,9.60e+00,
4.521400e-03,9.60e+00,
4.521500e-03,9.60e+00,
4.521600e-03,9.60e+00,
4.521700e-03,9.60e+00,
4.521800e-03,9.60e+00,
4.521900e-03,9.60e+00,
4.522000e-03,9.60e+00,
4.522100e-03,9.60e+00,
4.522200e-03,9.60e+00,
4.522300e-03,9.60e+00,
4.522400e-03,9.60e+00,
4.522500e-03,9.60e+00,
4.522600e-03,9.60e+00,
4.522700e-03,9.60e+00,
4.522800e-03,9.60e+00,
4.522900e-03,9.60e+00,
4.523000e-03,9.60e+00,
4.523100e-03,9.60e+00,
4.523200e-03,9.60e+00,
4.523300e-03,9.60e+00,
4.523400e-03,9.60e+00,
4.523500e-03,9.60e+00,
4.523600e-03,9.60e+00,
4.523700e-03,9.60e+00,
4.523800e-03,9.60e+00,
4.523900e-03,9.60e+00,
4.524000e-03,9.60e+00,
4.524100e-03,9.60e+00,
4.524200e-03,9.60e+00,
4.524300e-03,9.60e+00,
4.524400e-03,9.60e+00,
4.524500e-03,9.60e+00,
4.524600e-03,9.60e+00,
4.524700e-03,9.60e+00,
4.524800e-03,9.60e+00,
4.524900e-03,9.60e+00,
4.525000e-03,9.60e+00,
4.525100e-03,9.60e+00,
4.525200e-03,9.60e+00,
4.525300e-03,9.60e+00,
4.525400e-03,9.60e+00,
4.525500e-03,9.60e+00,
4.525600e-03,9.60e+00,
4.525700e-03,9.60e+00,
4.525800e-03,9.60e+00,
4.525900e-03,9.60e+00,
4.526000e-03,9.60e+00,
4.526100e-03,9.60e+00,
4.526200e-03,9.60e+00,
4.526300e-03,9.60e+00,
4.526400e-03,9.60e+00,
4.526500e-03,9.60e+00,
4.526600e-03,9.60e+00,
4.526700e-03,9.60e+00,
4.526800e-03,9.60e+00,
4.526900e-03,9.60e+00,
4.527000e-03,9.60e+00,
4.527100e-03,9.60e+00,
4.527200e-03,9.60e+00,
4.527300e-03,9.60e+00,
4.527400e-03,9.60e+00,
4.527500e-03,9.60e+00,
4.527600e-03,9.60e+00,
4.527700e-03,9.60e+00,
4.527800e-03,9.60e+00,
4.527900e-03,9.60e+00,
4.528000e-03,9.60e+00,
4.528100e-03,9.60e+00,
4.528200e-03,9.60e+00,
4.528300e-03,9.60e+00,
4.528400e-03,9.60e+00,
4.528500e-03,9.60e+00,
4.528600e-03,9.60e+00,
4.528700e-03,9.60e+00,
4.528800e-03,9.60e+00,
4.528900e-03,9.60e+00,
4.529000e-03,9.60e+00,
4.529100e-03,9.60e+00,
4.529200e-03,9.60e+00,
4.529300e-03,9.60e+00,
4.529400e-03,9.60e+00,
4.529500e-03,9.60e+00,
4.529600e-03,9.60e+00,
4.529700e-03,9.60e+00,
4.529800e-03,9.60e+00,
4.529900e-03,9.60e+00,
4.530000e-03,9.60e+00,
4.530100e-03,9.60e+00,
4.530200e-03,9.60e+00,
4.530300e-03,9.60e+00,
4.530400e-03,9.60e+00,
4.530500e-03,9.60e+00,
4.530600e-03,9.60e+00,
4.530700e-03,9.60e+00,
4.530800e-03,9.60e+00,
4.530900e-03,9.60e+00,
4.531000e-03,9.60e+00,
4.531100e-03,9.60e+00,
4.531200e-03,9.60e+00,
4.531300e-03,9.60e+00,
4.531400e-03,9.60e+00,
4.531500e-03,9.60e+00,
4.531600e-03,9.60e+00,
4.531700e-03,9.60e+00,
4.531800e-03,9.60e+00,
4.531900e-03,9.60e+00,
4.532000e-03,9.60e+00,
4.532100e-03,9.60e+00,
4.532200e-03,9.60e+00,
4.532300e-03,9.60e+00,
4.532400e-03,9.60e+00,
4.532500e-03,9.60e+00,
4.532600e-03,9.60e+00,
4.532700e-03,9.60e+00,
4.532800e-03,9.60e+00,
4.532900e-03,9.60e+00,
4.533000e-03,9.60e+00,
4.533100e-03,9.60e+00,
4.533200e-03,9.60e+00,
4.533300e-03,9.60e+00,
4.533400e-03,9.60e+00,
4.533500e-03,9.60e+00,
4.533600e-03,9.60e+00,
4.533700e-03,9.60e+00,
4.533800e-03,9.60e+00,
4.533900e-03,9.60e+00,
4.534000e-03,9.60e+00,
4.534100e-03,9.60e+00,
4.534200e-03,9.60e+00,
4.534300e-03,9.60e+00,
4.534400e-03,9.60e+00,
4.534500e-03,9.60e+00,
